Date,COLD,EGP,FR,ILPT,LINE,LXP,PLD,PLYM,REXR,SPY,STAG,TRNO,VNQ
2019-07-11,27.681976318359375,99.3361587524414,31.543296813964844,16.565332412719727,,34.8183708190918,67.7881851196289,13.388213157653809,35.166046142578125,271.68035888671875,23.172000885009766,41.97141647338867,70.06993103027344
2019-07-12,27.569351196289062,99.24443817138672,31.50110626220703,16.510162353515625,,34.671913146972656,66.95987701416016,13.345122337341309,35.18284225463867,272.8965148925781,23.247756958007812,42.013671875,69.97605895996094
2019-07-15,27.42454719543457,98.76929473876953,31.35764503479004,16.423477172851562,,34.8915901184082,66.88458251953125,13.323568344116211,35.21641159057617,272.9872741699219,23.36896324157715,41.91226577758789,69.92131805419922
2019-07-16,27.295833587646484,99.12773132324219,31.602367401123047,16.48652458190918,,35.14786911010742,68.15632629394531,13.072186470031738,35.42616653442383,272.1068115234375,23.293209075927734,41.929168701171875,69.75704193115234
2019-07-17,27.09471893310547,98.76094055175781,31.577035903930664,16.36043357849121,,35.14786911010742,68.28182983398438,13.201470375061035,35.451351165771484,270.255126953125,23.179584503173828,41.84467315673828,69.52239990234375
2019-07-18,27.04644203186035,99.25279235839844,31.8386287689209,16.43135643005371,,35.29432678222656,68.96793365478516,13.359482765197754,35.45973587036133,271.2445373535156,23.232608795166016,41.937625885009766,69.52239990234375
2019-07-19,26.69247817993164,97.17703247070312,31.121376037597656,16.116127014160156,,34.74513244628906,67.5539321899414,13.610876083374023,34.51995849609375,269.73779296875,22.709932327270508,41.19401550292969,68.3882064819336
2019-07-22,26.54766845703125,97.4771499633789,31.45890235900879,16.084604263305664,,34.708526611328125,67.92206573486328,13.230198860168457,34.670989990234375,270.400390625,22.687210083007812,41.37147521972656,68.32563781738281
2019-07-23,26.949907302856445,98.56918334960938,31.78800392150879,16.23434066772461,,35.184486389160156,69.10179138183594,13.39539623260498,35.166046142578125,272.3337707519531,22.937179565429688,41.734825134277344,69.09999084472656
2019-07-24,26.62811279296875,99.24443817138672,32.01585388183594,16.54956817626953,,35.55061340332031,68.82569122314453,13.36666488647461,35.199615478515625,273.61370849609375,22.959901809692383,41.861568450927734,69.15476989746094
2019-07-25,26.612031936645508,100.144775390625,31.923030853271484,16.510162353515625,,35.44077682495117,68.14796447753906,13.230198860168457,34.82204055786133,272.30657958984375,22.732656478881836,41.608070373535156,68.74800872802734
2019-07-26,27.030351638793945,100.78668212890625,32.31964111328125,16.598237991333008,,35.51399230957031,68.70018768310547,13.40976619720459,34.80525588989258,274.1310119628906,22.959901809692383,41.76016616821289,69.0608901977539
2019-07-29,27.134937286376953,101.10345458984375,32.24370193481445,16.638275146484375,,35.66044616699219,69.13524627685547,13.402576446533203,34.83042907714844,273.63177490234375,22.975055694580078,41.836219787597656,69.24861907958984
2019-07-30,27.03839874267578,101.4952621459961,32.57278823852539,17.19074249267578,,36.06318283081055,68.61650085449219,13.424127578735352,34.880767822265625,272.9600524902344,23.0655517578125,41.80241394042969,69.80400085449219
2019-07-31,26.974044799804688,100.4365463256836,32.226810455322266,17.118680953979492,,36.13639831542969,67.44515991210938,13.345122337341309,34.73812484741211,269.97381591796875,22.601655960083008,41.28696823120117,69.53019714355469
2019-08-01,26.893590927124023,100.62828826904297,32.058040618896484,17.038619995117188,,35.7702751159668,67.58739471435547,13.28765869140625,35.51008605957031,267.6228942871094,22.358299255371094,42.05592727661133,69.53019714355469
2019-08-02,27.110801696777344,100.00304412841797,31.669870376586914,17.214765548706055,,35.184486389160156,67.3614730834961,13.373851776123047,35.01502990722656,265.6077575683594,22.114953994750977,41.532012939453125,69.86653900146484
2019-08-05,26.684431076049805,97.87731170654297,31.02853775024414,16.97456169128418,,34.232566833496094,65.7968978881836,13.072186470031738,34.033287048339844,257.6201171875,21.76512336730957,40.602508544921875,68.48988342285156
2019-08-06,26.901636123657227,99.2027816772461,31.64456558227539,17.12669563293457,,34.7817497253418,66.89293670654297,13.302024841308594,34.360538482666016,261.2326965332031,21.856382369995117,40.8729133605957,69.24861907958984
